ID,category,year,month,day,verified,province,longitude,latitude,review,open_days
11960464,1,2013,7,4,0,1,116.937,39.95703,0,1418
21107547,2,2014,11,16,0,2,113.01023,28.23554,0,918
16613960,1,2013,12,18,0,3,120.09755,30.28167,0,1251
10587251,2,2013,6,9,0,1,115.50156,38.89045,0,1443
12967598,1,2013,7,9,0,4,117.80613,26.79187,0,1413
13885623,2,2013,9,1,0,5,119.37573,34.74196,1,1359
17011597,1,2014,1,7,0,6,113.66592,23.06342,0,1231
18969119,3,2014,7,14,0,6,114.70543,22.97622,0,1043
20920284,3,2014,10,30,0,7,116.41755,39.96183,7,935
9007273,2,2013,4,3,0,7,116.16499,39.71894,0,1510
10255908,1,2013,5,30,0,8,117.10963,31.85001,0,1453
10902076,1,2013,6,19,0,9,114.27723,30.56739,0,1433
12668022,4,2013,7,9,0,3,120.56345,27.67115,0,1413
14111252,5,2013,9,17,0,5,119.78589,31.3859,0,1343
14505038,6,2013,9,30,0,9,113.35771,31.72672,0,1330
15783361,1,2013,11,17,0,10,114.08091,28.10573,0,1282
17718958,2,2014,3,11,0,1,116.68751,39.53087,0,1168
20914136,2,2014,10,29,1,11,112.71668,37.74087,11,936
7510456,6,2012,11,8,0,12,121.16685,36.78394,0,1656
9100730,2,2013,4,19,0,1,114.14179,38.0349,0,1494
10490359,2,2013,6,9,0,3,121.82895,29.88748,0,1443
11131743,4,2013,6,19,0,5,118.76594,32.11504,0,1433
12885695,7,2013,7,9,0,11,112.2772,39.51784,0,1413
14534653,6,2013,9,30,0,13,122.73735,48.00632,0,1330
15864903,3,2013,11,21,0,7,116.46781,39.90054,0,1278
19426909,3,2014,8,26,0,7,116.31326,39.84539,0,1000
5416689,8,2011,10,27,0,4,119.31304,26.06935,0,2034
6757601,1,2012,10,24,0,6,113.36762,22.51966,0,1671
10177119,1,2013,5,30,0,11,112.5673,37.88167,0,1453
11127903,7,2013,6,19,0,5,118.73833,31.99873,0,1433
11168169,1,2013,6,19,0,14,109.47162,30.90139,0,1433
12988933,1,2013,7,9,0,4,118.60296,24.71853,0,1413
13987520,5,2013,9,17,0,6,113.30038,23.15236,0,1343
14441547,3,2013,9,30,1,5,120.38952,31.55743,2,1330
16550606,7,2013,12,18,0,1,115.48435,38.88586,0,1251
17568871,6,2014,2,11,0,12,121.39698,37.53302,0,1196
21195669,1,2014,11,25,0,15,102.73469,25.03201,0,909
5258111,9,2011,7,5,0,16,113.86419,35.30568,23,2148
10255542,10,2013,5,30,0,8,117.21847,31.80211,0,1453
11524079,1,2013,6,20,0,17,126.58795,45.74261,0,1432
12091171,6,2013,7,4,0,9,115.37456,30.7535,0,1418
13404944,1,2013,7,9,0,18,105.91461,36.97519,0,1413
14242391,11,2013,9,30,0,4,118.59979,24.87557,0,1330
14547803,3,2013,9,30,0,19,104.26205,30.55174,0,1330
16162013,6,2013,12,17,0,1,114.89016,40.79413,0,1252
17052515,10,2014,1,7,0,7,116.5334,39.96799,0,1231
21179914,12,2014,11,25,0,7,116.46841,39.99342,0,909
21552987,1,2014,12,17,1,20,108.34576,22.82166,0,887
9173807,2,2013,4,20,0,15,102.72652,24.9794,0,1493
9942387,2,2013,5,9,0,3,121.36898,28.59186,0,1474
10930090,4,2013,6,19,0,3,119.68164,29.7919,0,1433
12880865,1,2013,7,9,0,20,110.17027,22.64363,0,1413
13181296,4,2013,7,9,0,3,120.73081,28.85113,0,1413
14681067,3,2013,9,30,0,18,106.12273,38.49438,0,1330
16264356,7,2013,12,17,0,2,112.92598,28.20798,0,1252
